Category,Line Item,Description,Unit Cost,Qty,Total

01 - LIVE EVENT PRODUCTION,,,,
,Stage & Venue Setup,,,,
,Stage Design & Fabrication,"Custom WOD x Wind Creek branded stage backdrop, DJ booth facade, championship podium",$3500,1,$3500
,Stage/Venue Setup Labor,"Load-in, rigging, setup crew per live event",$800,3,$2400
,House DJ Equipment,Pioneer CDJ-3000 + DJM-900 rental per event (plug-and-play standard),$500,3,$1500
,PA Sound System,"Professional line array, subwoofers, monitor wedges - rental per event",$1200,3,$3600
,Lighting Package,"Moving heads, LED wash, spotlight, haze machine per event",$900,3,$2700
,Audio/Visual Tech (FOH),Sound engineer + lighting tech per event,$600,3,$1800
,Championship Night Upgrades,,,,
,Championship Trophy Production,3 custom WOD x Wind Creek branded trophies (House / Hip Hop / Top 40),$400,3,$1200
,Championship Night Decor,"Premium staging elements, podium, red carpet, step-and-repeat banner",$2000,1,$2000
,Signing Ceremony Setup,"Brand Breakers signing table, custom contract displays, branded pens/folders",$500,1,$500
,Prize Pool - Cash Awards,$10000 per category champion x 3 categories,$10000,3,$30000
,PRODUCTION SUBTOTAL,,,,$49200

02 & 03 - MARKETING / MEDIA & BROADCAST,,,,
,Broadcast & Streaming,,,,
,Live Stream Production Crew,"Director, camera operators (2), stream tech per live event",$1800,3,$5400
,Multi-Camera Setup,"3-camera package with capture cards, switcher, stream encoder per event",$700,3,$2100
,YouTube/Twitch Stream Graphics,"Branded overlays, lower thirds, transition scenes - Wind Creek co-branded",$1200,1,$1200
,Post-Event Highlight Reels,Edited highlight video per event (1-3 min) + full Championship recap,$800,4,$3200
,Radio - Power 92 Chicago (92.3 FM),,,,
,Power 92 Promotional Spots,:30 radio spots - 3x per week for 5 weeks (pre-season through championship),$300,15,$4500
,Power 92 DJ Feature Segments,Finalist DJ interviews / championship countdown segments,$500,3,$1500
,Social Media & Digital Marketing,,,,
,Social Media Content Production,"DJ profile graphics, countdown posts, genre cards, vote push content - full season",$2500,1,$2500
,Paid Social Advertising,"Facebook/Instagram/TikTok ads - Chicago metro targeting, 5-week flight",$500,5,$2500
,Email Marketing Platform,"Mailchimp / Constant Contact - list management, 5-week campaign sends",$150,2,$300
,WOD Portal Hosting & Domain,"WODdjs.com hosting, SSL, CDN - full season + 3-month post-event",$500,1,$500
,Print & In-Casino Marketing,,,,
,In-Casino Signage & Banners,"Wind Creek digital screen graphics, printed banners, floor decals - 3 events",$1200,1,$1200
,Event Flyers & Promo Materials,"Printed flyers, table tents, VIP invitations - distributed in-casino and at venues",$600,1,$600
,Step-and-Repeat / Photo Wall,WOD x Wind Creek branded press wall for red carpet arrivals,$800,1,$800
,MARKETING & MEDIA SUBTOTAL,,,,$26300

04 & 05 - TALENT / VIP & OPERATIONS,,,,
,Event Talent & Staffing,,,,
,Event Host / MC,"Professional host for all 3 live events - announces DJs, runs ceremony, crowd energy",$750,3,$2250
,Judges Panel,3 independent judges per event - honorariums for local personalities / industry pros,$300,9,$2700
,DJ Stipends (Non-Champion),Performance stipend for eliminated DJs - 6 DJs total across Events 1 & 2,$250,6,$1500
,Security Personnel,"Door, floor, and VIP section security per event",$600,3,$1800
,Event Coordinator / Day-Of Staff,Brand Breakers production staff on-site per event (2 per event),$400,6,$2400
,Photography - Lite Wurks Studios,"Event photography per live event - DJ sets, VIP section, ceremony moments",$600,3,$1800
,VIP & High Roller Experience,,,,
,VIP Branded Gift Packages,Custom WOD x Wind Creek gift box per VIP guest - est. 30 guests x 3 events,$45,90,$4050
,VIP Section Furnishings,"Upgraded seating, branded table covers, velvet ropes, reserved signage per event",$500,3,$1500
,Special Guest Coordination,Coordination fees for confirmed celebrity/influencer/media VIP attendees,$1000,3,$3000
,Championship Night VIP Upgrade,"Premium additional elements for Championship Night VIP: champagne toast, custom gifts",$1500,1,$1500
,General Operations,,,,
,Insurance - Event Liability,General liability coverage for all 3 events + production period,$1200,1,$1200
,Transportation & Logistics,"Equipment transport, crew travel, load-in/out per event",$400,3,$1200
,Meals & Crew Catering,Production crew meals per event day,$300,3,$900
,Miscellaneous / Contingency,10% contingency on operational costs for unexpected expenses,,,$ 2600
,TALENT / VIP & OPERATIONS SUBTOTAL,,,,$28400

06 - BRAND BREAKERS MANAGEMENT FEE,,,,
,Pre-Season Strategy & Setup,"Portal development, DJ outreach, submission management, marketing strategy, partner coordination",,,$4000
,Season Management (5 Weeks),"Weekly content publishing, vote monitoring, DJ communication, social media management",,,$3000
,Live Event Execution (x3),"On-site Brand Breakers production leadership, run-of-show management, talent handling",,,$4500
,Signing & Champion Activation,"Legal coordination, Brand Breakers agreements, Wind Creek DJ roster onboarding",,,$2000
,Post-Season Reporting & CRM Delivery,"Final contact list delivery, highlight reel handoff, season recap report for Wind Creek",,,$800
,MANAGEMENT FEE SUBTOTAL,,,,$14300

BUDGET SUMMARY,,,,
,01 - Live Event Production,,,,$49200
,02 - Marketing / Media & Broadcast,,,,$26300
,03 - Talent / VIP & Operations,,,,$28400
,04 - Brand Breakers Management Fee,,,,$14300
,Prize Pool (included in Production),,,,$30000
,Operating Budget (excl. prize pool),,,,$97500
,TOTAL EVENT BUDGET,,,,$127500
